caseType,season,pitcher,team,role,full_bbe,full_lbi_events,full_hr,current_getting_cooked_plus,lbi_event_rate_plus,lbi_severity_per_event_plus,lbi_per_bbe_plus,lbi_blend_plus,actual_hr_per_bbe_plus,barrel_rate_plus,adjusted_xhr_per_bbe_allowed,rate_rank,severity_rank,blend_rank
Top inverted-LBI per BBE,2025,Bowden Francis,TOR,SP,201,19.0,19,131.4,169.95246407833608,104.25415285724873,177.1965528503602,177.18250168488925,208.2482186058194,144.12887111219896,0.0702,15.0,64.0,12.0
Top inverted-LBI per BBE,2025,Austin Gomber,COL,SP,220,20.0,16,148.0,163.4471066016534,107.76466013843203,176.15218728572586,176.1382189353725,160.22159594170222,168.5521634533934,0.0627,16.0,21.0,13.0
Top inverted-LBI per BBE,2025,Seth Halvorsen,COL,RP,115,10.0,7,124.3,156.34071066245104,112.42202029429417,175.77532393538257,175.76138546918446,134.09850964685947,110.84136835793805,0.0488,30.0,6.0,14.0
Top inverted-LBI per BBE,2025,Roki Sasaki,LAD,SP,101,9.0,6,117.6,160.21053023330379,107.52102742383845,172.27366894328387,172.26000814802757,130.8740758929746,137.67874737529658,0.0467,21.0,26.0,15.0
Top inverted-LBI per BBE,2025,680767,,RP,139,11.0,4,,142.28129423597164,120.83138354246175,171.9340902151073,171.9204563474454,63.397034365421746,100.03995312881263,,47.0,1.0,16.0
Top inverted-LBI per BBE,2025,George Soriano,MIA,RP,115,10.0,10,140.5,156.34071066245104,108.58304665332587,169.77296929387958,169.75950679675043,191.56929949551352,171.300296553177,0.0568,30.0,15.0,17.0
Top inverted-LBI per BBE,2025,Génesis Cabrera,MIN,RP,132,13.0,12,115.7,177.0676988184578,95.84776918368861,169.72889826481057,169.7154392623844,200.2769949271278,131.6813776979636,0.0741,11.0,248.0,18.0
Top inverted-LBI per BBE,2025,Tanner Gordon,COL,SP,253,24.0,16,120.8,170.55350254085567,99.42444057628859,169.58531340108073,169.5718657845119,139.32312690582802,132.82643315620675,0.0538,14.0,171.0,19.0
Top inverted-LBI per BBE,2025,Ryan Rolison,COL,RP,146,13.0,11,138.4,160.08860441120842,105.79028386728059,169.37161971707346,169.35818904578528,165.9829889464552,111.11743652321312,0.0627,22.0,42.0,20.0
Top inverted-LBI per BBE,2025,JP Sears,SD,SP,424,38.0,30,128.4,161.1341758478564,103.05540546550566,166.07064717738388,166.0574782635093,155.87596303290604,109.32038903227168,0.0604,20.0,88.0,21.0
Top inverted-LBI per BBE,2025,Zebby Matthews,MIN,SP,242,21.0,12,113.0,156.0176926652146,105.75744713335703,165.01341391748437,165.0003288390978,109.24199723297879,114.9219296273137,0.0521,32.0,43.0,22.0
Top inverted-LBI per BBE,2025,Zach Agnos,COL,RP,100,9.0,5,131.2,161.81263553563684,101.19462324213981,163.75867246954473,163.74568688846452,110.15234720992028,150.64349608647035,0.051,19.0,119.0,23.0
Top inverted-LBI per BBE,2025,Colton Gordon,HOU,SP,285,25.0,21,126.9,157.71212040510412,103.3845018345859,163.06282041563819,163.04989001357922,162.32977483567197,134.1763932753987,0.0639,26.0,83.0,24.0
Top inverted-LBI per BBE,2025,Richard Fitts,BOS,SP,133,12.0,11,127.3,162.2181809881071,100.43936789078052,162.94383655536586,162.93091558837705,182.20689012167261,148.11679777154401,0.0752,18.0,142.0,25.0
