target,scenario,split,exclude_2020,model,features,n,periods,weighted_rmse,rmse,weighted_mae,mae,pearson,spearman,oos_r2
era,season_to_next,all,True,xWHIP_lgBABIP,xwhip_lgbabip,2032,7,1.0925918606150002,1.234787741321854,0.8371335579536635,0.9502691283162372,0.24178904672717852,0.24745571861242308,0.060506303501478564
era,season_to_next,all,True,pWHIP,pWHIP,2032,7,1.092367660351954,1.234313147683568,0.8364668866475534,0.9499082509778543,0.2403050809850787,0.2436778909468058,0.060891832865761386
era,season_to_next,all,True,KBB,kbb,2032,7,1.0611769355317469,1.2091387234587263,0.8121991332507154,0.928626293303089,0.309440620050229,0.3049441384563837,0.11375549986643341
era,season_to_next,all,True,KBB_reg_best,KBB_reg_direct,2032,7,1.0578304662858349,1.2033263812178654,0.8102427695240713,0.9249736237058978,0.31747174344277573,0.3128914761710708,0.11933631017019009
era,season_to_next,all,True,CCR,CCR,2032,7,1.113432517805059,1.2557064188735505,0.8587892100955179,0.9735602117285362,0.14618913104122558,0.14288155515630385,0.024323712239786466
era,season_to_next,all,True,WAI,WAI,2032,7,1.0850920525053493,1.2285269419071023,0.8291976215512882,0.9445252369649468,0.2549584295024058,0.25429126891709514,0.0733598491254337
era,season_to_next,all,True,HR9,hr9,2032,7,1.1166995682680343,1.2525471512548003,0.8700187276016333,0.9748146229763835,0.15082730506814546,0.16338896498759697,0.01858962392352892
era,season_to_next,all,True,HR9_reg,HR9_reg,2032,7,1.0672111916979616,1.2104109974027444,0.8258855556846698,0.9339021288248189,0.30461206135318897,0.3073735695264027,0.10364779577170735
era,season_to_next,all,True,EDF,EDF,2032,7,1.0519511594614082,1.1968984224008206,0.8105599482540169,0.9235397830434363,0.33256800082303273,0.33085446979721206,0.12909837258232804
era,season_to_next,all,True,EDF_z,EDF_z,2032,7,1.0667828194685012,1.2097516270020285,0.8174781027366366,0.930550867877208,0.3019145849060362,0.3022420975562667,0.10436723224871447
era,season_to_next,all,True,KBB_best_plus_pWHIP_plus_HR9_reg,KBB_reg_component+pWHIP+HR9_reg,2032,7,1.0503937968863086,1.1949598162427928,0.8100267660427842,0.9231261674204255,0.33636935565007087,0.3330778672863561,0.1316751188765155
era,season_to_next,all,True,KBB_best_plus_pWHIP_plus_HR9_reg_plus_ERA_reg,KBB_reg_component+pWHIP+HR9_reg+ERA_reg,2032,7,1.051951159461407,1.196898422400821,0.8105599482540152,0.9235397830434359,0.33256800082303317,0.33085446979721206,0.12909837258232992
era,season_to_next,starter,True,ERA,era,775,7,0.990254702966826,1.0751405220762735,0.7746124774169927,0.8311658742299748,0.21065526802225099,0.23247938585036612,0.06143053006184129
era,season_to_next,starter,True,ERA_reg,ERA_reg,775,7,0.9886571490499072,1.0722866585111093,0.7728930953381271,0.8287764253787948,0.21821863110819897,0.23428876666987467,0.06445643005161084
era,season_to_next,starter,True,WHIP,whip,775,7,0.9845797475331916,1.0683460646881289,0.7643221157499326,0.8210369468054365,0.24513125142561273,0.2643714683571747,0.07215722046340856
era,season_to_next,starter,True,WHIP_reg,WHIP_reg,775,7,0.982438399730428,1.0649449007717673,0.7637464823071236,0.8198111906681882,0.2528940802983322,0.26209159009317273,0.07618873448617047
era,season_to_next,starter,True,xWHIP_lgBABIP,xwhip_lgbabip,775,7,0.9670150528602476,1.0523695702154259,0.7456965852421633,0.8049896323033779,0.3030516782166905,0.310739307556962,0.10496696532164473
era,season_to_next,starter,True,pWHIP,pWHIP,775,7,0.9672541562932966,1.0525022091013212,0.745557643501704,0.8047180838303793,0.302099662547747,0.3088611054304746,0.10452430017787306
era,season_to_next,starter,True,KBB,kbb,775,7,0.9297970380758898,1.0146567102406885,0.7162798261288258,0.7755794742113302,0.3935806278328959,0.3916867488523385,0.17253637260562704
era,season_to_next,starter,True,KBB_reg_best,KBB_reg_direct,775,7,0.9307138062416009,1.0141271191771832,0.7191769285024684,0.7766022606295091,0.39131222727473486,0.39184570616967573,0.17090383074534987
era,season_to_next,starter,True,CCR,CCR,775,7,0.9963778579228989,1.0695045131534795,0.7816711243775253,0.8324842609452952,0.23601571465297633,0.22917512682251354,0.04978751671531323
era,season_to_next,starter,True,WAI,WAI,775,7,0.9594217868722964,1.0442000350456064,0.7382627935557706,0.7973487165190338,0.3221784572410445,0.3248729229248149,0.11896786629683909
era,season_to_next,starter,True,HR9,hr9,775,7,1.0188172177052461,1.095415447859395,0.8035965193820733,0.8544087176466163,0.08976602731610148,0.12109838744217263,0.0065062312368074915
