kind,target,scenario,split,exclude_2020,model,bucket,n,avg_score,future_value
decile,era,season_to_next,starter,True,ERA_reg,6,77,4.01596189348344,4.1183500385505
decile,era,season_to_next,starter,True,ERA_reg,7,77,4.140787156973809,4.311423335369579
decile,era,season_to_next,starter,True,ERA_reg,8,78,4.26666221215432,4.2648277568186055
decile,era,season_to_next,starter,True,ERA_reg,9,77,4.4737314355513025,4.223767422836108
decile,era,season_to_next,starter,True,ERA_reg,10,78,4.9655721054454665,4.473678902783381
decile,era,season_to_next,starter,True,HR9,1,78,0.6016783591118914,3.710424597364569
decile,era,season_to_next,starter,True,HR9,2,77,0.8207208633244975,4.0541028495772276
decile,era,season_to_next,starter,True,HR9,3,78,0.9352305324505287,3.660785928740335
decile,era,season_to_next,starter,True,HR9,4,77,1.008777273251304,3.9974025974025977
decile,era,season_to_next,starter,True,HR9,5,78,1.0960217528305702,4.182223387519665
decile,era,season_to_next,starter,True,HR9,6,77,1.1836473047419898,4.08199130488029
decile,era,season_to_next,starter,True,HR9,7,77,1.2796410263160631,4.002660217654173
decile,era,season_to_next,starter,True,HR9,8,78,1.3896102370777028,4.353890242155037
decile,era,season_to_next,starter,True,HR9,9,77,1.5408658238595296,4.170997485331097
decile,era,season_to_next,starter,True,HR9,10,78,1.9188004585391683,4.377661316737637
decile,era,season_to_next,starter,True,HR9_reg,1,78,0.8802290443521602,3.4529280948851
decile,era,season_to_next,starter,True,HR9_reg,2,77,0.9676764770207971,3.7021702838063435
decile,era,season_to_next,starter,True,HR9_reg,3,78,1.0119092103132625,3.747239700819186
decile,era,season_to_next,starter,True,HR9_reg,4,77,1.041153514842806,3.9134195352088064
decile,era,season_to_next,starter,True,HR9_reg,5,78,1.0761659465443376,4.141166306695466
decile,era,season_to_next,starter,True,HR9_reg,6,77,1.1052409914761312,4.245765039831518
decile,era,season_to_next,starter,True,HR9_reg,7,77,1.1364697807961301,4.223582532804025
decile,era,season_to_next,starter,True,HR9_reg,8,78,1.17356064761976,4.311692833628767
decile,era,season_to_next,starter,True,HR9_reg,9,77,1.2249378808304392,4.457707053913752
decile,era,season_to_next,starter,True,HR9_reg,10,78,1.3184406239082758,4.504132493112512
decile,era,season_to_next,starter,True,KBB,1,78,0.251833985700132,3.1729741063004506
decile,era,season_to_next,starter,True,KBB,2,77,0.20447268324947307,3.6838689912549443
decile,era,season_to_next,starter,True,KBB,3,78,0.1839299626560086,3.827066780872494
decile,era,season_to_next,starter,True,KBB,4,77,0.16853619999948494,3.904223093371347
decile,era,season_to_next,starter,True,KBB,5,78,0.15270026072840176,4.0595318313655415
decile,era,season_to_next,starter,True,KBB,6,77,0.14022012029604797,4.235400102957159
decile,era,season_to_next,starter,True,KBB,7,77,0.12751731963325547,4.284398548702205
decile,era,season_to_next,starter,True,KBB,8,78,0.11438524286741206,4.380462488099991
decile,era,season_to_next,starter,True,KBB,9,77,0.09818770064228925,4.530026022552881
